cbsa,lat,lon,anchor,place_name
35620,40.6627117,-73.9386769,place,New York
31080,34.0193936,-118.4108248,place,Los Angeles
16980,41.8370453,-87.6849386,place,Chicago
19100,32.7933334,-96.7665128,place,Dallas
26420,29.7857435,-95.3888059,place,Houston
47900,38.9042429,-77.0165243,place,Washington
37980,40.0092973,-75.1332708,place,Philadelphia
12060,33.7629088,-84.4226745,place,Atlanta
33100,25.775163,-80.2086152,place,Miami
38060,33.5721544,-112.0901324,place,Phoenix
14460,42.3327346,-71.0135134,place,Boston
40140,33.9381433,-117.3931676,place,Riverside
41860,37.708348674999996,-122.51423175,county,
19820,42.3830375,-83.1022365,place,Detroit
42660,47.6193352,-122.3515382,place,Seattle
33460,44.9633242,-93.2683198,place,Minneapolis
45300,27.9678756,-82.4745861,place,Tampa
41740,32.830391,-117.120923,place,San Diego
19740,39.7618502,-104.8811054,place,Denver
12580,39.3000606,-76.6105181,place,Baltimore
41180,38.6356988,-90.2445816,place,St. Louis
36740,28.4722646,-81.3224522,place,Orlando
16740,35.2090447,-80.8309902,place,Charlotte
41700,29.4597746,-98.5242628,place,San Antonio
38900,45.5369506,-122.649971,place,Portland
38300,40.4398925,-79.9754718,place,Pittsburgh
12420,30.2986219,-97.7541339,place,Austin
40900,38.5676936,-121.4681605,place,Sacramento
29820,36.2120986,-115.0152388,county,
17140,39.140183,-84.5058289,place,Cincinnati
28140,39.1251553,-94.5503133,place,Kansas City
18140,39.9873674,-82.9851797,place,Columbus
17410,41.4784623,-81.6794351,place,Cleveland
26900,39.78034164285714,-86.20733388571429,county,
34980,36.1686238,-86.6070357,county,
41940,37.2960112,-121.8145519,place,San Jose
47260,36.7791127,-76.0284501,place,Virginia Beach
39300,41.8230558,-71.4187841,place,Providence
27260,30.3359137,-81.6617622,place,Jacksonville
33340,43.0633484,-87.9666952,place,Milwaukee
39580,35.8314561,-78.6395585,place,Raleigh
36420,35.4670795,-97.5136565,place,Oklahoma City
31140,38.224692,-85.7410672,place,Louisville
32820,35.1091639,-89.9685113,place,Memphis
40060,37.531399,-77.4760085,place,Richmond
41620,40.7753661,-111.927266,place,Salt Lake City
13820,33.5271744,-86.7970356,place,Birmingham
23420,36.7826971,-119.7961839,place,Fresno
24340,42.961156,-85.6555701,place,Grand Rapids
15380,42.8924919,-78.8596862,place,Buffalo
25540,41.7659331,-72.6815789,place,Hartford
46060,32.1528306,-110.8707504,place,Tucson
40380,43.1699272,-77.6168907,place,Rochester
46140,36.1279488,-95.9023162,place,Tulsa
46520,21.324347,-157.8476402,place,Urban Honolulu
36540,41.2640133,-96.0564963,place,Omaha
35380,30.0528765,-89.9345018,place,New Orleans
24860,34.8369021,-82.362997,place,Greenville
14860,41.1873933,-73.1957567,place,Bridgeport
28940,35.9706805,-83.9492703,place,Knoxville
10740,35.1047797,-106.6468093,place,Albuquerque
12540,35.3531741,-119.0378785,place,Bakersfield
10580,42.6657453,-73.7983532,place,Albany
32580,26.2249657,-98.246083,place,McAllen
35840,27.350658449999997,-82.40679695,county,
12940,30.4404433,-91.1331665,place,Baton Rouge
21340,31.8477804,-106.4311055,place,El Paso
10900,40.5936476,-75.4783928,place,Allentown
49340,42.2694781,-71.8077831,place,Worcester
17900,34.0403258,-80.8980712,place,Columbia
37100,34.1994364,-119.2075154,place,Oxnard
16700,32.828017,-79.9728961,place,Charleston
15980,26.6431921,-81.9973643,place,Cape Coral
19430,39.7847429,-84.1996322,place,Dayton
14260,43.5980503,-116.2315964,place,Boise City
44700,37.9765533,-121.3085983,place,Stockton
29460,28.0554961,-81.9547721,place,Lakeland
24660,36.0948502,-79.8236236,place,Greensboro
17820,38.8672553,-104.760749,place,Colorado Springs
30780,34.7232181,-92.3562643,place,Little Rock
19780,41.5725898,-93.6102428,place,Des Moines
39340,40.2453116,-111.6450565,place,Provo
19660,28.9051205,-81.2109776,place,Deltona
28880,41.3390099,-74.1669411,place,Kiryas Joel
10420,41.0804559,-81.5214295,place,Akron
31540,43.0878147,-89.4298563,place,Madison
49180,36.1028627,-80.2608286,place,Winston-Salem
45060,43.04126,-76.1432118,place,Syracuse
36260,41.2283911,-111.9681469,place,Ogden
48620,37.6893435,-97.3483526,place,Wichita
37340,27.9545799,-80.6652963,place,Palm Bay
12260,33.48787673333333,-81.98583866666667,county,
27140,32.315834,-90.2128502,place,Jackson
25420,40.2758906,-76.8850199,place,Harrisburg
45780,41.664071,-83.5818608,place,Toledo
20500,35.9779278,-78.8981088,place,Durham
44060,47.6669347,-117.433322,place,Spokane
22220,36.0714508,-94.1666787,place,Fayetteville
16860,35.065958,-85.248386,place,Chattanooga
35300,41.3108088,-72.924953,place,New Haven
42540,41.4041516,-75.6659531,place,Scranton
39900,39.549097,-119.8499069,place,Reno
38860,43.6331574,-70.1853051,place,Portland
29540,40.0420608,-76.3009901,place,Lancaster
